@relation powerpuffgirls

@attribute blue_power_bubbles real
@attribute yellow_hair_bubbles real
@attribute red_power_blossom real
@attribute orange_hair_blossom real
@attribute klass {0.0, 1.0}

@data
6.159153E-5,0.0,9.854644E-4,0.0,1.0
0.0,0.004873582,1.7722117E-4,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0021482278,0.0,1.0
0.0,0.0,2.185662E-4,0.0,0.0
0.0,1.982986E-5,3.1727777E-4,0.0,1.0
0.0,3.972668E-5,0.0014500238,0.0,1.0
0.0,1.987084E-4,0.0062791854,1.987084E-5,1.0
0.0,0.03002598,5.995204E-4,0.0,0.0
0.0,0.0,0.0,0.0,1.0
7.9608324E-4,1.9902081E-5,1.9902081E-5,0.0,0.0
0.0,0.0,5.9326056E-5,0.16540104,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.974168E-5,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,1.7821782E-4,0.02609901,0.0,1.0
0.0,3.90625E-5,0.003203125,0.0,1.0
0.0,0.0,3.2175033E-4,0.0,0.0
0.0,0.0,1.980002E-5,0.0,1.0
1.1814745E-4,0.007709121,2.9536863E-5,0.0,0.0
1.980002E-5,0.0,0.0,0.0,0.0
1.9869654E-5,8.5439516E-4,3.3778415E-4,3.973931E-5,0.0
0.0,3.579226E-5,1.07376785E-4,0.0,0.0
0.0,0.001981132,1.6509434E-4,7.0754715E-5,0.0
0.0,0.0,0.0,0.0,1.0
0.0,6.9444446E-5,1.7361112E-4,3.4722223E-5,0.0
0.0,2.1799446E-4,0.0022393975,3.9635353E-5,1.0
0.0,4.2735042E-5,7.6923077E-4,0.0,1.0
0.0,0.0,1.3417116E-4,0.0,0.0
0.0,0.0,0.0035160494,0.0,1.0
0.0,0.0,2.2988506E-5,2.2988506E-5,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0780595E-4,0.0,0.0
0.0,1.1928667E-4,0.0011133422,0.0,1.0
0.0,2.2379558E-4,0.0024617512,1.6276042E-4,1.0
0.0,1.9869654E-5,0.00866317,0.0,1.0
0.0,0.0,0.005875,0.0,1.0
0.0,0.001744186,0.0012596899,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,3.969514E-5,6.3512224E-4,0.0,1.0
0.0,1.18811884E-4,1.980198E-4,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,5.9719318E-5,3.1850304E-4,0.0,1.0
0.0,0.0,0.0,0.0,1.0
1.9792182E-5,0.0,0.0,0.0,0.0
0.0,0.0,9.9510406E-5,0.0,0.0
0.0,0.0011105823,5.156275E-4,1.5865461E-4,0.0
0.0,0.0,0.0,0.0,0.0
0.0,2.0833334E-4,2.0833334E-4,0.0,0.0
0.0,0.0,0.00866317,0.0,1.0
0.0,0.0,0.002480454,0.0,1.0
0.0,5.952617E-5,2.7778881E-4,0.0,1.0
0.0,1.980002E-5,0.0011682012,0.0,1.0
0.0,3.0487805E-4,8.807588E-4,0.0,1.0
0.0,5.2083335E-5,1.5625E-4,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.003479056,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,1.9857818E-5,0.011219667,3.9715636E-5,1.0
2.356712E-5,4.713424E-5,1.6496984E-4,2.356712E-5,0.0
0.0,0.0,0.0017087903,0.0,1.0
0.0,0.0,0.0061503574,1.7179768E-4,1.0
0.0,0.0,2.2241993E-5,0.0,0.0
0.0,0.0,1.789613E-4,0.0,1.0
0.0,0.0,3.9804163E-5,0.0,0.0
1.9902081E-5,0.0,0.0,0.0,0.0
0.02056662,1.5805279E-4,9.8783E-4,1.9756598E-4,0.0
0.0,1.9881507E-5,7.952603E-5,0.0,0.0
0.0,0.0023051754,1.48721E-4,7.43605E-5,0.0
0.0,0.0,3.9611805E-5,0.0,1.0
0.008127173,2.3845007E-4,6.15996E-4,0.0,0.0
0.003175813,2.5406503E-4,6.351626E-5,6.351626E-5,0.0
0.0,0.0,4.0338846E-4,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,1.11940295E-4,1.11940295E-4,0.0,1.0
0.0,0.0,0.008520465,0.0,1.0
0.0,0.001675884,2.932797E-4,0.0,0.0
0.005906173,0.0,2.567901E-4,0.0,0.0
0.0,0.0,0.0,7.3168805E-4,1.0
0.0,0.0,5.8644146E-5,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,5.738029E-4,4.3529877E-4,0.0,0.0
0.0,3.9611805E-5,7.922361E-5,0.0,1.0
0.0,0.00140175,8.495455E-5,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0015851001,5.745988E-4,5.944125E-4,0.0,0.0
0.0,0.0,0.0023620485,0.0,1.0
5.947071E-5,1.982357E-5,6.541778E-4,3.7664783E-4,0.0
0.0,1.9753087E-4,3.9506174E-4,0.0,0.0
0.0,0.0034989363,1.988032E-5,3.976064E-5,0.0
0.0,0.0,1.0416667E-4,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,5.2083335E-5,0.0028645834,0.0,1.0
0.0,1.9881507E-5,7.952603E-5,0.0,0.0
0.0,1.3844663E-4,5.933427E-5,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.006218038,0.0,1.0
1.3931458E-4,5.9706246E-5,5.174541E-4,5.9706246E-5,1.0
0.0021482278,5.967299E-5,3.5803794E-4,0.0,0.0
0.0,9.93542E-5,0.014545455,3.974168E-5,1.0
0.0,0.0,1.9893372E-5,0.0,0.0
0.0,0.0,0.0,3.9684113E-5,1.0
1.988111E-5,8.747689E-4,0.0,1.988111E-5,0.0
0.0,3.435954E-5,0.0062877955,1.3743815E-4,1.0
0.0,9.9127676E-5,1.7842982E-4,0.0,0.0
0.0,0.0011111553,5.952617E-4,1.3889441E-4,0.0
0.0,5.9542712E-5,5.954271E-4,0.0,1.0
0.0,6.1545795E-4,1.5882785E-4,7.941393E-5,0.0
0.0,1.984757E-5,1.38933E-4,0.0,1.0
1.987084E-5,3.974168E-5,6.15996E-4,1.987084E-5,1.0
0.0,0.015351563,0.0,0.0,0.0
0.0,0.0,7.9365076E-5,1.9841269E-5,1.0
0.0,0.0,0.0,0.0,1.0
2.5778817E-4,0.0010113228,8.5268397E-4,1.982986E-5,0.0
